type,nb_photo,prix,code postal,transport/0,transport/1,transport/2,nb_pieces,nb_chambres,surface,lat,lon,url
maison,12,4113500,75012,Porte de Charenton,Porte Dorée,Michel Bizot,11,8,252,48.833913,2.403578,/annonces/maison-paris-12e-r428800183
maison,0,3450000,75007,Rue du Bac,Solférino (Musée d'Orsay),Sèvres - Babylone,6,3,180,48.855551,2.325712,/annonces/maison-paris-7e-r429100360
appartement,13,1900000,75016,Avenue Henri Martin,Rue de la Pompe (Avenue Georges Mandel),La Muette,3,2,150,48.865091,2.270395,/annonces/appartement-paris-16e-r427300474
appartement,13,1680000,75016,Michel-Ange - Auteuil,Église d'Auteuil,Chardon-Lagache,4,3,105,48.847766,2.264925,/annonces/appartement-paris-16e-r425701318
appartement,10,1640000,75011,Ledru-Rollin,Faidherbe,Bastille,5,2,133,48.853111,2.376574,/annonces/appartement-paris-11e-75011-r430300830
appartement,2,1620000,75017,Monceau,Malesherbes,Villiers,4,2,140,48.88112,2.310154,/annonces/appartement-paris-17e-r426101306
appartement,18,1600000,75015,Ségur,Sèvres - Lecourbe,Cambronne,3,2,79,48.84748,2.308745,/annonces/appartement-paris-15e-75015-r430000549
appartement,10,1550000,75008,Madeleine,Saint-Augustin,Miromesnil,3,1,88,48.871158,2.321501,/annonces/appartement-paris-8e-r429100353
maison,12,1500000,75011,Faidherbe,Faidherbe - Chaligny,Charonne,5,3,119,48.852708,2.38112,/annonces/maison-paris-11e-r428000553
appartement,12,1475400,75007,Pont de l'Alma,Alma - Marceau,Iéna,4,3,91,48.860654,2.299627,/annonces/appartement-paris-7e-75007-r429501323
appartement,14,1395000,75006,Saint-Germain-des-Prés,Mabillon,Odéon,3,1,80,48.855946,2.337421,/annonces/appartement-paris-6e-r428700663
appartement,12,1353000,75018,,,,5,4,134,48.892399,2.34498,/annonces/appartement-paris-18e-r426500411
maison,12,1276000,75015,Volontaires,Cambronne,Ségur,5,3,94,48.84374,2.303247,/annonces/maison-paris-15e-r427200337
appartement,0,1200000,75016,Mirabeau,Église d'Auteuil,Javel,4,3,96,48.845004,2.272372,/annonces/appartement-paris-16e-75016-r430400898
appartement,8,1180000,75016,Mirabeau,Église d'Auteuil,Jasmin,4,2,91,48.849819,2.272133,/annonces/appartement-paris-16e-75016-r430400289
